DADOS | WAVY_44 | AGREGADOR_2 | Humidade | 90,6 | 2025-05-26T20:12:24.9785021Z
DADOS | WAVY_71 | AGREGADOR_2 | Humidade | 56,9 | 2025-05-26T20:15:04.2694485Z
DADOS | WAVY_72 | AGREGADOR_2 | Humidade | 58,2 | 2025-05-26T20:15:05.2840901Z
DADOS | WAVY_73 | AGREGADOR_2 | Humidade | 82,5 | 2025-05-26T20:15:06.1114715Z
DADOS | WAVY_44 | AGREGADOR_2 | Humidade | 30,1 | 2025-05-26T20:15:25.1769952Z
DADOS | WAVY_45 | AGREGADOR_2 | Humidade | 87,5 | 2025-05-26T20:15:25.9104190Z
DADOS | WAVY_46 | AGREGADOR_2 | Humidade | 87,9 | 2025-05-26T20:15:26.4718855Z
DADOS | WAVY_53 | AGREGADOR_2 | Humidade | 82,6 | 2025-05-26T20:15:38.5234660Z
DADOS | WAVY_54 | AGREGADOR_2 | Humidade | 93,1 | 2025-05-26T20:15:39.3822793Z
DADOS | WAVY_55 | AGREGADOR_2 | Humidade | 39,1 | 2025-05-26T20:15:40.0326097Z
DADOS | WAVY_62 | AGREGADOR_2 | Humidade | 44,6 | 2025-05-26T20:15:51.0998238Z
DADOS | WAVY_63 | AGREGADOR_2 | Humidade | 56,3 | 2025-05-26T20:15:51.9262393Z
DADOS | WAVY_64 | AGREGADOR_2 | Humidade | 97,9 | 2025-05-26T20:15:52.7095856Z
DADOS | WAVY_71 | AGREGADOR_2 | Humidade | 68,6 | 2025-05-26T20:16:04.2849015Z
DADOS | WAVY_72 | AGREGADOR_2 | Humidade | 69,4 | 2025-05-26T20:16:05.3140544Z
DADOS | WAVY_73 | AGREGADOR_2 | Humidade | 57,5 | 2025-05-26T20:16:06.1242680Z
DADOS | WAVY_44 | AGREGADOR_2 | Humidade | 68,6 | 2025-05-26T20:16:25.2007521Z
DADOS | WAVY_45 | AGREGADOR_2 | Humidade | 59,7 | 2025-05-26T20:16:25.9376483Z
DADOS | WAVY_46 | AGREGADOR_2 | Humidade | 98,5 | 2025-05-26T20:16:26.4851153Z
DADOS | WAVY_53 | AGREGADOR_2 | Humidade | 63,9 | 2025-05-26T20:16:38.5502185Z
DADOS | WAVY_54 | AGREGADOR_2 | Humidade | 63,9 | 2025-05-26T20:16:39.4069228Z
DADOS | WAVY_55 | AGREGADOR_2 | Humidade | 74,9 | 2025-05-26T20:16:40.0479396Z
