DADOS | WAVY_38 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T20:12:12.2055332Z
DADOS | WAVY_67 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:13:56.6052646Z
DADOS | WAVY_68 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:14:00.2740545Z
DADOS | WAVY_69 | AGREGADOR_1 | Temperatura | 23,5 | 2025-05-26T20:14:01.1785116Z
DADOS | WAVY_70 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T20:14:02.0617156Z
DADOS | WAVY_71 | AGREGADOR_1 | Temperatura | 21,2 | 2025-05-26T20:14:04.2530636Z
DADOS | WAVY_72 | AGREGADOR_1 | Temperatura | 24,5 | 2025-05-26T20:14:05.2578694Z
DADOS | WAVY_73 | AGREGADOR_1 | Temperatura | 19,9 | 2025-05-26T20:14:06.0987691Z
DADOS | WAVY_38 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:14:12.3456595Z
DADOS | WAVY_39 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:14:13.1739677Z
DADOS | WAVY_40 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T20:14:13.8783672Z
DADOS | WAVY_41 | AGREGADOR_1 | Temperatura | 20,5 | 2025-05-26T20:14:18.8387181Z
DADOS | WAVY_42 | AGREGADOR_1 | Temperatura | 19,7 | 2025-05-26T20:14:19.5285374Z
DADOS | WAVY_43 | AGREGADOR_1 | Temperatura | 20,6 | 2025-05-26T20:14:20.2019311Z
DADOS | WAVY_44 | AGREGADOR_1 | Temperatura | 22,4 | 2025-05-26T20:14:25.1624019Z
DADOS | WAVY_45 | AGREGADOR_1 | Temperatura | 21,6 | 2025-05-26T20:14:25.8921843Z
DADOS | WAVY_46 | AGREGADOR_1 | Temperatura | 20,7 | 2025-05-26T20:14:26.4361264Z
DADOS | WAVY_47 | AGREGADOR_1 | Temperatura | 26,0 | 2025-05-26T20:14:30.9817171Z
DADOS | WAVY_48 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T20:14:31.6827847Z
DADOS | WAVY_49 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:14:32.3058787Z
DADOS | WAVY_50 | AGREGADOR_1 | Temperatura | 25,5 | 2025-05-26T20:14:34.8536407Z
DADOS | WAVY_51 | AGREGADOR_1 | Temperatura | 25,2 | 2025-05-26T20:14:35.5121419Z
DADOS | WAVY_52 | AGREGADOR_1 | Temperatura | 18,9 | 2025-05-26T20:14:36.1077033Z
DADOS | WAVY_53 | AGREGADOR_1 | Temperatura | 18,7 | 2025-05-26T20:14:38.4972777Z
DADOS | WAVY_54 | AGREGADOR_1 | Temperatura | 18,7 | 2025-05-26T20:14:39.3674817Z
DADOS | WAVY_55 | AGREGADOR_1 | Temperatura | 19,2 | 2025-05-26T20:14:40.0071765Z
DADOS | WAVY_56 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T20:14:42.3605622Z
DADOS | WAVY_57 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:14:43.2494740Z
DADOS | WAVY_58 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T20:14:44.0114383Z
DADOS | WAVY_59 | AGREGADOR_1 | Temperatura | 18,7 | 2025-05-26T20:14:46.2132251Z
DADOS | WAVY_60 | AGREGADOR_1 | Temperatura | 24,1 | 2025-05-26T20:14:47.0989613Z
DADOS | WAVY_61 | AGREGADOR_1 | Temperatura | 22,8 | 2025-05-26T20:14:47.8335933Z
DADOS | WAVY_62 | AGREGADOR_1 | Temperatura | 18,2 | 2025-05-26T20:14:51.0843658Z
DADOS | WAVY_63 | AGREGADOR_1 | Temperatura | 20,4 | 2025-05-26T20:14:51.9112201Z
DADOS | WAVY_64 | AGREGADOR_1 | Temperatura | 22,8 | 2025-05-26T20:14:52.6916496Z
DADOS | WAVY_65 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T20:14:55.0187266Z
DADOS | WAVY_66 | AGREGADOR_1 | Temperatura | 25,0 | 2025-05-26T20:14:55.9040223Z
DADOS | WAVY_67 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T20:14:56.6201129Z
DADOS | WAVY_68 | AGREGADOR_1 | Temperatura | 19,1 | 2025-05-26T20:15:00.3038606Z
DADOS | WAVY_69 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:15:01.1917439Z
DADOS | WAVY_70 | AGREGADOR_1 | Temperatura | 18,5 | 2025-05-26T20:15:02.0986166Z
DADOS | WAVY_71 | AGREGADOR_1 | Temperatura | 22,6 | 2025-05-26T20:15:04.2694485Z
DADOS | WAVY_72 | AGREGADOR_1 | Temperatura | 18,7 | 2025-05-26T20:15:05.2840901Z
DADOS | WAVY_73 | AGREGADOR_1 | Temperatura | 19,5 | 2025-05-26T20:15:06.1114715Z
DADOS | WAVY_38 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:15:12.3606396Z
DADOS | WAVY_39 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:15:13.1867818Z
DADOS | WAVY_40 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T20:15:13.8875582Z
DADOS | WAVY_41 | AGREGADOR_1 | Temperatura | 25,7 | 2025-05-26T20:15:18.8553503Z
DADOS | WAVY_42 | AGREGADOR_1 | Temperatura | 24,2 | 2025-05-26T20:15:19.5580562Z
DADOS | WAVY_43 | AGREGADOR_1 | Temperatura | 20,8 | 2025-05-26T20:15:20.2202628Z
DADOS | WAVY_44 | AGREGADOR_1 | Temperatura | 18,2 | 2025-05-26T20:15:25.1769952Z
DADOS | WAVY_45 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T20:15:25.9104190Z
DADOS | WAVY_46 | AGREGADOR_1 | Temperatura | 22,6 | 2025-05-26T20:15:26.4718855Z
DADOS | WAVY_47 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:15:30.9919627Z
DADOS | WAVY_48 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:15:31.6974559Z
DADOS | WAVY_49 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:15:32.3183874Z
DADOS | WAVY_50 | AGREGADOR_1 | Temperatura | 22,3 | 2025-05-26T20:15:34.8777062Z
DADOS | WAVY_51 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:15:35.5330894Z
DADOS | WAVY_52 | AGREGADOR_1 | Temperatura | 25,5 | 2025-05-26T20:15:36.1241222Z
DADOS | WAVY_53 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:15:38.5234660Z
DADOS | WAVY_54 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:15:39.3822793Z
DADOS | WAVY_55 | AGREGADOR_1 | Temperatura | 24,9 | 2025-05-26T20:15:40.0326097Z
DADOS | WAVY_56 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:15:42.3768849Z
DADOS | WAVY_57 | AGREGADOR_1 | Temperatura | 20,0 | 2025-05-26T20:15:43.2657813Z
DADOS | WAVY_58 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:15:44.0300850Z
DADOS | WAVY_59 | AGREGADOR_1 | Temperatura | 24,2 | 2025-05-26T20:15:46.2267266Z
DADOS | WAVY_60 | AGREGADOR_1 | Temperatura | 24,6 | 2025-05-26T20:15:47.1186072Z
DADOS | WAVY_61 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:15:47.8548835Z
DADOS | WAVY_62 | AGREGADOR_1 | Temperatura | 21,5 | 2025-05-26T20:15:51.0998238Z
DADOS | WAVY_63 | AGREGADOR_1 | Temperatura | 23,4 | 2025-05-26T20:15:51.9262393Z
DADOS | WAVY_64 | AGREGADOR_1 | Temperatura | 19,9 | 2025-05-26T20:15:52.7095856Z
DADOS | WAVY_65 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:15:55.0402544Z
DADOS | WAVY_66 | AGREGADOR_1 | Temperatura | 21,0 | 2025-05-26T20:15:55.9275582Z
DADOS | WAVY_67 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T20:15:56.6305838Z
DADOS | WAVY_68 | AGREGADOR_1 | Temperatura | 24,5 | 2025-05-26T20:16:00.3248035Z
DADOS | WAVY_69 | AGREGADOR_1 | Temperatura | 21,3 | 2025-05-26T20:16:01.2128502Z
DADOS | WAVY_70 | AGREGADOR_1 | Temperatura | 24,4 | 2025-05-26T20:16:02.1189862Z
DADOS | WAVY_71 | AGREGADOR_1 | Temperatura | 20,2 | 2025-05-26T20:16:04.2849015Z
DADOS | WAVY_72 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:16:05.3140544Z
DADOS | WAVY_73 | AGREGADOR_1 | Temperatura | 24,4 | 2025-05-26T20:16:06.1242680Z
DADOS | WAVY_38 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:16:12.3923698Z
DADOS | WAVY_39 | AGREGADOR_1 | Temperatura | 23,0 | 2025-05-26T20:16:13.2043455Z
DADOS | WAVY_40 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T20:16:13.9079160Z
DADOS | WAVY_41 | AGREGADOR_1 | Temperatura | 19,7 | 2025-05-26T20:16:18.8764634Z
DADOS | WAVY_42 | AGREGADOR_1 | Temperatura | 24,6 | 2025-05-26T20:16:19.5830715Z
DADOS | WAVY_43 | AGREGADOR_1 | Temperatura | 18,2 | 2025-05-26T20:16:20.2358951Z
DADOS | WAVY_44 | AGREGADOR_1 | Temperatura | 21,9 | 2025-05-26T20:16:25.2007521Z
DADOS | WAVY_45 | AGREGADOR_1 | Temperatura | 24,2 | 2025-05-26T20:16:25.9376483Z
DADOS | WAVY_46 | AGREGADOR_1 | Temperatura | 22,8 | 2025-05-26T20:16:26.4851153Z
DADOS | WAVY_47 | AGREGADOR_1 | Temperatura | 18,0 | 2025-05-26T20:16:31.0099869Z
DADOS | WAVY_48 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:16:31.7079467Z
DADOS | WAVY_49 | AGREGADOR_1 | Temperatura | 19,0 | 2025-05-26T20:16:32.3467337Z
DADOS | WAVY_50 | AGREGADOR_1 | Temperatura | 19,1 | 2025-05-26T20:16:34.8932996Z
DADOS | WAVY_51 | AGREGADOR_1 | Temperatura | 23,8 | 2025-05-26T20:16:35.5526373Z
DADOS | WAVY_52 | AGREGADOR_1 | Temperatura | 20,7 | 2025-05-26T20:16:36.1459561Z
DADOS | WAVY_53 | AGREGADOR_1 | Temperatura | 23,3 | 2025-05-26T20:16:38.5502185Z
DADOS | WAVY_54 | AGREGADOR_1 | Temperatura | 22,7 | 2025-05-26T20:16:39.4069228Z
DADOS | WAVY_55 | AGREGADOR_1 | Temperatura | 20,6 | 2025-05-26T20:16:40.0479396Z
DADOS | WAVY_56 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T20:16:42.4064301Z
DADOS | WAVY_57 | AGREGADOR_1 | Temperatura | 22,0 | 2025-05-26T20:16:43.2824089Z
DADOS | WAVY_58 | AGREGADOR_1 | Temperatura | 24,0 | 2025-05-26T20:16:44.0474998Z
