DADOS | DADOS | WAVY_01 | AGREGADOR_2 | Temperatura | 21,3 | 2025-04-08T15:56:22.4797643Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 24,9 | 2025-04-08T16:13:16.0821647Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 21,6 | 2025-04-08T16:13:36.0975639Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 24,4 | 2025-04-08T16:14:08.9146758Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 18,6 | 2025-04-08T16:14:12.9367516Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 24,3 | 2025-04-08T16:14:16.0911160Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 19,1 | 2025-04-08T16:14:36.1070667Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 21,6 | 2025-04-08T16:15:08.9202202Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,9 | 2025-04-08T16:15:12.9470949Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 23,0 | 2025-04-08T16:15:16.1038562Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 21,1 | 2025-04-08T16:15:36.1161468Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,6 | 2025-04-08T16:16:08.9296036Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 23,7 | 2025-04-08T16:16:12.9680513Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 21,7 | 2025-04-08T16:16:16.1170079Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 19,2 | 2025-04-08T16:16:36.1247455Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 21,7 | 2025-04-08T16:17:08.9477170Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 18,8 | 2025-04-08T16:17:12.9929123Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 21,0 | 2025-04-08T16:17:16.1261487Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 25,3 | 2025-04-08T16:17:36.1376524Z
DADOS | DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 22,0 | 2025-04-08T16:18:08.9542104Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 19,4 | 2025-04-08T16:18:13.0085772Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 24,2 | 2025-04-08T16:18:16.1359652Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 18,3 | 2025-04-08T16:18:36.1531717Z
DADOS | DADOS | WAVY_07 | AGREGADOR_2 | Temperatura | 21,6 | 2025-04-08T19:40:24.5978569Z
DADOS | DADOS | WAVY_08 | AGREGADOR_2 | Temperatura | 23,0 | 2025-04-08T19:40:26.6501400Z
DADOS | DADOS | WAVY_09 | AGREGADOR_2 | Temperatura | 24,8 | 2025-04-08T19:40:28.3990092Z
DADOS | DADOS | WAVY_07 | AGREGADOR_2 | Temperatura | 18,4 | 2025-04-08T19:41:24.6131987Z
DADOS | DADOS | WAVY_08 | AGREGADOR_2 | Temperatura | 18,5 | 2025-04-08T19:41:26.6598862Z
DADOS | DADOS | WAVY_09 | AGREGADOR_2 | Temperatura | 24,2 | 2025-04-08T19:41:28.4201530Z
DADOS | DADOS | WAVY_07 | AGREGADOR_2 | Temperatura | 19,0 | 2025-04-08T19:42:24.6303755Z
DADOS | DADOS | WAVY_08 | AGREGADOR_2 | Temperatura | 25,7 | 2025-04-08T19:42:26.6674340Z
DADOS | DADOS | WAVY_09 | AGREGADOR_2 | Temperatura | 23,4 | 2025-04-08T19:42:28.4327442Z
DADOS | DADOS | WAVY_07 | AGREGADOR_2 | Temperatura | 22,6 | 2025-04-08T19:43:24.6354771Z
DADOS | DADOS | WAVY_08 | AGREGADOR_2 | Temperatura | 20,3 | 2025-04-08T19:43:26.6747748Z
DADOS | DADOS | WAVY_09 | AGREGADOR_2 | Temperatura | 20,7 | 2025-04-08T19:43:28.4445807Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 18,5 | 2025-04-08T19:40:00.0290217Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 25,9 | 2025-04-08T19:40:19.3656067Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,4 | 2025-04-08T19:40:22.1279181Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 22,3 | 2025-04-08T19:41:00.0506800Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 22,6 | 2025-04-08T19:41:19.3943719Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 18,3 | 2025-04-08T19:41:22.1534864Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 24,5 | 2025-04-08T19:42:00.0655142Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 25,4 | 2025-04-08T19:42:19.4151413Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 20,0 | 2025-04-08T19:42:22.1644591Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 21,8 | 2025-04-08T19:43:00.0795276Z
DADOS | DADOS | WAVY_05 | AGREGADOR_1 | Temperatura | 20,0 | 2025-04-08T19:43:19.4285981Z
DADOS | DADOS | WAVY_06 | AGREGADOR_1 | Temperatura | 25,8 | 2025-04-08T19:43:22.1742249Z
DADOS | DADOS | WAVY_04 | AGREGADOR_1 | Temperatura | 23,9 | 2025-04-08T19:44:00.0888205Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 18,7 | 2025-04-08T20:12:29.1543638Z
DADOS | WAVY_01 | AGREGADOR_1 | Temperatura | 25,8 | 2025-04-08T20:14:43.4217250Z
DADOS | WAVY_02 | AGREGADOR_1 | Temperatura | 18,0 | 2025-04-08T20:14:47.4924956Z
DADOS | WAVY_03 | AGREGADOR_1 | Temperatura | 18,6 | 2025-04-08T20:14:52.8151631Z
